TimeSec,Speed,Throttle,Brake,RPM,nGear,session_id,car_id,Speed_ms,Delta_KE,Acceleration,Longitudinal_G,Aero_Drag_N,Aero_Downforce_N,Effective_Weight_N,Brake_Work_EMA,Convective_Cooling_Factor,Wheel_Speed_ms,Slip_Ratio,Normal_Load_N,Tire_Load_Factor,Tire_Stress_Index,Thermal_Decay_Indicator,Calculated_Degradation_Index,Sustained_Tire_Decay_Flag,Brake_Temp_Target
22.78,292.98634325210753,100.0,-2.1673577670539674e-31,10870.986516564739,7.197060925341287,2023-Monza-R,VER,81.38509534780765,4.4000552916213564,1.351840365168755,0.1378022798337161,4665.451581473596,14199.200465354423,22027.580465354422,7.788694748816013e-10,1.688130069121835,81.38509534780765,0.0,22027.580465354422,2.813810835109489,0.0,0.0,0.0,False,177.46780489803075
22.8,293.091581391595,100.0,-2.465623605058537e-31,10811.58098560928,7.224179909951707,2023-Monza-R,VER,81.41432816433195,4.759085677792427,1.4616408262149605,0.14899498738174927,4668.803762447891,14209.40275527619,22037.782755276192,7.399260011375211e-10,1.6886151409798484,81.41432816433195,0.0,22037.782755276192,2.8151140791934206,0.0,0.0,0.0,False,177.46707729015804
22.82,293.2051837473382,100.0,-2.649143633498342e-31,10756.290877067024,7.240865953702503,2023-Monza-R,VER,81.44588437426061,5.139251055895329,1.5778104964333295,0.1608369517261294,4672.423722410387,14220.420024727266,22048.800024727265,7.029297010806451e-10,1.6891387267419244,81.44588437426061,0.0,22048.800024727265,2.8165214290475507,0.0,0.0,0.0,False,177.46629191143356
22.84,293.32760890239723,100.0,-2.681947559921424e-31,10705.927190530234,7.243848558658769,2023-Monza-R,VER,81.479891361777,5.54061482155339,1.7003493758195987,0.17332817286642188,4676.326392975318,14232.297717750971,22060.677717750972,6.677832160266128e-10,1.6897029307846503,81.479891361777,0.0,22060.677717750972,2.8180386897098724,0.0,0.0,0.0,False,177.46544560529213
22.86,293.45931543983244,100.0,-2.5280650918758177e-31,10661.300925591178,7.229857226885601,2023-Monza-R,VER,81.51647651106457,5.9632464519581845,1.8292574643780313,0.18646865080306127,4680.526754694916,14245.081427332356,22073.461427332357,6.343940552252821e-10,1.6903098560788152,81.51647651106457,0.0,22073.461427332357,2.8196716852442467,0.0,0.0,0.0,False,177.46453521727744
22.88,293.60076194270397,100.0,-2.151525936909565e-31,10623.223081842125,7.19562146044809,2023-Monza-R,VER,81.55576720630665,6.407221830342678,1.964534762104364,0.20025838553561304,4685.0398415716645,14258.816909131154,22087.196909131155,6.02674352464018e-10,1.6909616040617614,81.55576720630665,0.0,22087.196909131155,2.821426260494656,0.0,0.0,0.0,False,177.46355759523323
22.900000000000002,293.75240699407226,100.0,-1.5163598025705694e-31,10592.504658875336,7.137870761411323,2023-Monza-R,VER,81.59789083168674,6.872623570582618,2.1061812690042814,0.2146973770646566,4689.880745799193,14273.55009591059,22101.93009591059,5.725406348408171e-10,1.691660274503692,81.59789083168674,0.0,22101.93009591059,2.823308282928344,0.0,0.0,0.0,False,177.46250958950407
22.92,293.91470917699735,100.0,-5.865963964070831e-32,10569.95665628309,7.053334631840411,2023-Monza-R,VER,81.64297477138815,7.3595413416560405,2.254196985070678,0.22978562538946765,4695.064622731723,14289.327112661766,22117.707112661767,5.439136030987762e-10,1.6924079653680089,81.64297477138815,0.0,22117.707112661767,2.8253236445678116,0.0,0.0,0.0,False,177.4613880531446
22.94,294.08808179138606,100.0,6.673945322144142e-32,10556.337967650965,6.939319024317678,2023-Monza-R,VER,81.69113383094057,7.866017063121035,2.4079529776209085,0.24545901912547485,4700.605248500558,14306.18988674083,22134.569886740832,5.167179229438374e-10,1.6932065640922656,81.69113383094057,0.0,22134.569886740832,2.8274777012282017,0.0,0.0,0.0,False,177.46019015499837
22.96,294.2718966246167,100.0,2.1294222721013994e-31,10551.209048410972,6.806388253321904,2023-Monza-R,VER,81.74219350683798,8.344852724701013,2.5529837948703005,0.26024299641899085,4706.483154138519,14324.079164769408,22152.459164769407,4.908820267966455e-10,1.6940531595254555,81.74219350683798,0.0,22152.459164769407,2.82976288386223,0.0,0.0,0.0,False,177.45892026179175
22.98,294.46448395153834,100.0,3.5374751502354134e-31,10552.931915841526,6.67836499522831,2023-Monza-R,VER,81.79568998653842,8.748701064557281,2.674823985022101,0.2726629954150969,4712.6455204508675,14342.834192676555,22171.214192676554,4.663379254568132e-10,1.6949400449595773,81.79568998653842,0.0,22171.214192676554,2.832158657688635,0.0,0.0,0.0,False,177.45758993358658
23.0,294.6641287638469,100.0,4.623201451779482e-31,10559.816481214371,6.579648376929358,2023-Monza-R,VER,81.85114687884636,9.075345008578552,2.7728446153972186,0.28265490472958393,4719.037966591285,14362.289463538695,22190.669463538696,4.4302102918397255e-10,1.695859308421171,81.85114687884636,0.0,22190.669463538696,2.8346438807950936,0.0,0.0,0.0,False,177.45621103834287
